Theta_deg,G_rx_theta_dB,I_dBW,SNR_dB,SNR_Loss_dB
0.5,33.666666666666664,-98.8451330731722,-37.74104471730348,45.77474891203832
0.5007729075105616,33.662541307218234,-98.84925843262063,-37.73691946704764,45.77062366178248
0.5030915075015232,33.65012765375917,-98.8616720860797,-37.72450614278726,45.7582103375221
0.5069554323701486,33.629313011148774,-98.88248672869008,-37.70369205427801,45.737396249012846
0.5123640695099645,33.599909654801,-98.91189008503787,-37.67428948520844,45.70799367994328
0.5193165614078911,33.561654981586585,-98.95014475825228,-37.63603584427808,45.669740039012915
0.5278118057801937,33.51421172095494,-98.99758801888393,-37.58859387657575,45.62229807131059
0.5378484557472452,33.45716820613495,-99.05463153370391,-37.531551935128746,45.565256129863585
0.5494249200470691,33.39003870523345,-99.12176103460541,-37.4644243124561,45.49812850719094
0.5625393632876234,33.31226381201043,-99.19953592782844,-37.38665163192532,45.420355826660156
0.5771897062377935,33.22321089607002,-99.28858884376885,-37.29760129867732,45.33130549341216
0.5933736261570488,33.12217461216659,-99.38962512767228,-37.196568009852825,45.23027220458766
0.6110885571636941,33.008377468285836,-99.50342227155303,-37.08277432382287,45.116478518557706
0.6303316906416846,32.88097045212157,-99.63082928771729,-36.955371288099855,44.98907548283469
0.6510999756859128,32.73903371552962,-99.77276602430925,-36.81343912558209,44.84714332031693
0.6733901195859193,32.58157731650166,-99.9302224233372,-36.6559879787671,44.68969217350194
0.6971985883479337,32.40754201816346,-100.1042577216754,-36.481958711558285,44.51566290629312
0.7225216072551731,32.215800144263476,-100.29599959557538,-36.290223768288016,44.323927963022854
0.7493551614663018,32.00515649058033,-100.50664324925853,-36.079588089590985,44.11329228432582
0.7776949966519692,31.774349291639965,-100.7374504481989,-35.848790084791,43.88249427952584
0.807536619669313,31.522051242096317,-100.98974849774254,-35.596502660515654,43.63020685525049
0.8388752992743191,31.246870572092913,-101.26492916774595,-35.32133430533895,43.35503850007379
0.8717060668719444,30.94735217588611,-101.56444756395275,-35.021830230381994,43.05553442511683
0.9060237173038608,30.621978792975433,-101.88982094686344,-34.6964735659971,42.73017776073194
0.9418228096737077,30.269172240951058,-102.2426274988878,-34.34368661494558,42.37739080968042
0.9790976682097151,29.887294699233593,-102.62450504060527,-33.96183216289471,41.99553635762955
1.0178423831645778,29.474650042847216,-103.03714969699165,-33.549214847660224,41.58291904239506
1.0580508117524143,29.029485225333637,-103.48231451450522,-33.10408258949121,41.13778678422605
1.0997165791226688,28.549991709881255,-103.96180802995761,-32.624628085960566,40.658332280695404
1.1428330793708223,28.034306947710952,-104.47749279212792,-32.108990376870935,40.14269457160577
1.1873934765857255,27.480515902728875,-105.03128383710998,-31.55525648730126,39.5889606820361
1.233390705933387,26.88665262142475,-105.6251471184141,-30.9614631609354,38.99516735567023
1.2808174747770857,26.250701846963462,-106.2610978928754,-30.325598701804303,38.35930289653914
1.3296662638335746,25.5706006763886,-106.94119906345026,-29.645604951586826,37.679309146321664
1.37992932836522,24.844240259826734,-107.66755948001213,-28.919379443302144,36.953083638036986
1.4315986994079044,24.069467540552516,-108.44233219928634,-28.144777793216047,36.17848198795089
1.48466618503446,23.244087034747853,-109.26771270509101,-27.319616425304304,35.35332062003914
1.53912337165346,22.365862649760455,-110.1459370900784,-26.441675773534076,34.47537996826891
1.5949616253431516,21.432519539641234,-111.07928020019763,-25.508704187828464,33.5424083825633
1.6521720932203252,20.441745996714502,-112.07005374312436,-24.518422898621893,32.55212709335673
1.710745704843891,19.391195377910286,-113.12060436192857,-23.468532603892783,31.50223679862762
1.7706731736529575,18.278488064564073,-114.23331167527479,-22.356722584986393,30.39042677972123
1.8319449984391722,17.10121345436641,-115.41058628547245,-21.180683825302605,29.214388020037443
1.8945514648530821,15.856931984122884,-116.65486775571598,-19.93812855847455,27.971832753209387
1.9584826469443106,14.543177181962697,-117.96862255787616,-18.626820289348082,26.66052448408292
2.023728408735259,13.157457747615233,-119.35434199222362,-17.24462110513615,25.27832529987099
2.0902784058281147,11.697259659352937,-120.81454008048593,-15.789567900917604,23.82327209565244
2.158122087044913,10.160048306180844,-122.35175143365802,-14.259997536817693,22.29370173155253
2.2272486961003755,8.543270643835612,-123.96852909600325,-12.654755657356109,20.688459852090947
2.29764727330725,6.8443573731400456,-125.66744236669882,-10.97354962585741,19.007253820592247
2.3693066573139383,5.060725139241878,-127.45107460059698,-9.217550332230134,17.25125452696497
2.442215486874062,3.189778750253275,-129.32202098958558,-7.390421049523486,15.424125244258324
2.516362202647734,1.2289134137911617,-131.2828863260477,-5.500062525564969,13.533766720299807
2.5917350490342317,-0.824483010093175,-133.33628274993202,-3.561494593242376,11.595198787977214
2.6683220760358,-2.9730277411200206,-135.48482748095887,-1.6013229830926061,9.635027177827444
2.7461111411522614,-5.2193407976564,-137.73114053749526,0.3362554035803677,7.6974487911544704
2.82508991130614,-7.5660427038065805,-140.07784244364544,2.183925380135707,5.849778814599132
2.9052458647980277,-10.01575218627221,-142.52755192611107,3.8525058092165883,4.18119838551825
2.98656629329183,-12.571083862543475,-145.08288360238234,5.24879227707565,2.784911917659188
3.069038303829606,-15.23464592199096,-147.74644566182982,6.3112390026209075,1.7224651921139307
3.152648820875694,-18.00903780143416,-150.520837541273,7.040433542012736,0.993270652722102
3.237384588389772,-20.89684785676593,-153.4086475966048,7.494612212254341,0.539091982480497
3.323232171928526,-23.90065103221754,-156.4124507720564,7.755395857396868,0.27830833733797
3.410177960775636,-27.02300652885267,-159.53480626869154,7.8958657879494885,0.13783840678534975
3.4982081700996757,-30.266455473877997,-162.77825521371688,7.967841694703399,0.06586250003143945
3.587308843139626,-33.6335185923614,-166.14531833220025,8.00324591418313,0.030458280551707517
3.677465853417665,-37.12669388294887,-169.63849362278773,8.02005117155155,0.013653023183287871
3.7686649069788496,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
3.8608915446573357,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
3.954131144368832,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.048368923428846,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.143589940896414,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.239779099942902,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.336921150245555,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.435000690405337,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.534002170388771,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.633909893993305,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.734708021335871,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.8363805713642325,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
4.938911424390693,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
5.042284324647785,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
5.146482882865563,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
5.251490578870031,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
5.357290764202338,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
5.463866664758298,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
5.571201383447878,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
5.679277902874097,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
5.788079088031097,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
5.8975876890207966,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
6.007786343787767,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
6.118657580871927,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
6.230183822178538,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
6.342347385765131,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
6.455130488644894,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
6.5685152496060795,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
6.682483692046977,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
6.797017746826019,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
6.912099255126563,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
7.027709971335868,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
7.143831565937867,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
7.260445628419199,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
7.377533670188124,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
7.495077127505799,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
7.613057364429457,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
7.7314556757670525,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
7.8502532900428825,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
7.969431372473697,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
8.088971027954887,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
8.208853304056188,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
8.329059194026502,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
8.449569639807338,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
8.570365535054354,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
8.691427728166591,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
8.81273702532286,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
8.934274193524828,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
9.056019963646316,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
9.17795503348833,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
9.30006007083932,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
9.422315716540227,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
9.544702587553763,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
9.667201280037503,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
9.789792372420282,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
9.912456428481368,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
10.035174000432013,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
10.157925631998763,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
10.280691861508194,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
10.403453224972441,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
10.526190259175127,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
10.648883504757167,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
10.77151350930194,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
10.894060830419392,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
11.016506038828519,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
11.138829721437785,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
11.261012484422992,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
11.383034956302046,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
11.504877791006237,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
11.626521670947454,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
11.74794731008089,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
11.869135456962763,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
11.990066897802523,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
12.11072245950911,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
